"emp_id","full_name","job_title","department","business_unit","gender","age","country","city","experience","salary"
"E02572","Luna Sanders","Director","Finance","Speciality Products","Female",50,"United States","Chicago",17,NULL
"E01639","Austin Vo","Sr. Analyst","Finance","Manufacturing","Male",55,"United States","Phoenix",28,NULL
"E00644","Joshua Gupta","Account Representative","Sales","Corporate","Male",57,"China","Chongqing",7,NULL
"E04332","Luke Martin","Analyst","Finance","Manufacturing","Male",25,"United States","All the Employee of",4,NULL
"E04533","Easton Bailey","Manager","Accounting","Manufacturing","Male",29,"United States","Austin",5,NULL
"E03838","Madeline Walker","Sr. Analyst","Finance","Speciality Products","Female",34,"United States","Chicago",5,NULL
"E00591","Savannah Ali","Sr. Manger","Human Resources","Manufacturing","Female",36,"United States","Miami",15,NULL
"E03344","Camila Rogers","Controls Engineer","Engineering","Speciality Products","Female",27,"United States","Seattle",2,NULL
"E00530","Eli Jones","Manager","Human Resources","Manufacturing","Male",59,"United States","Austin",25,NULL
"E04239","Everleigh Ng","Sr. Manger","Finance","Research & Development","Female",51,"China","Shanghai",3,NULL
"E03496","Robert Yang","Sr. Analyst","Accounting","Speciality Products","Male",31,"United States","Austin",6,NULL
"E00549","Isabella Xi","Vice President","Marketing","Research & Development","Female",41,"United States","Seattle",11,NULL
"E00163","Bella Powell","Director","Finance","Research & Development","Female",65,"United States","Phoenix",22,NULL
"E00884","Camila Silva","Sr. Manger","Marketing","Speciality Products","Female",64,"United States","Seattle",20,NULL
"E04625","Adam Dang","Director","Sales","Research & Development","Male",45,"China","Chongqing",21,NULL
"E04732","Eva Rivera","Director","Sales","Manufacturing","Female",36,"United States","Miami",3,NULL
"E00671","Leonardo Dixon","Analyst","Sales","Speciality Products","Male",37,"United States","Seattle",4,NULL
"E02071","Mateo Her","Vice President","Sales","Speciality Products","Male",44,"China","Chongqing",10,NULL
"E02206","Jose Henderson","Director","Human Resources","Speciality Products","Male",41,"United States","Columbus",9,NULL
"E04545","Abigail Mejia","Quality Engineer","Engineering","Corporate","Female",56,"Brazil","Rio de Janerio",19,NULL
"E00154","Wyatt Chin","Vice President","Engineering","Speciality Products","Male",43,"United States","Seattle",20,NULL
"E03343","Carson Lu","Engineering Manager","Engineering","Speciality Products","Male",64,"China","Beijing",27,NULL
"E00402","Dominic Guzman","Analyst","Finance","Manufacturing","Male",65,"Brazil","Manaus",20,NULL
"E01994","Angel Powell","Analyst II","Sales","Research & Development","Male",61,"United States","Seattle",15,NULL
"E03549","Mateo Vu","Account Representative","Sales","Speciality Products","Male",30,"China","Chongqing",7,NULL
"E03247","Caroline Jenkins","Analyst","Finance","Research & Development","Female",27,"United States","Chicago",6,NULL
"E04152","Adeline Huang","Controls Engineer","Engineering","Manufacturing","Female",34,"China","Chengdu",4,NULL
"E01628","Jackson Perry","Vice President","Marketing","Research & Development","Male",27,"United States","Phoenix",4,NULL
"E01754","Owen Lam","Sr. Business Partner","Human Resources","Speciality Products","Male",30,"China","Chengdu",7,NULL
"E03749","Kennedy Foster","Manager","Marketing","Speciality Products","Female",53,"United States","Austin",10,NULL
"E04600","William Vu","Account Representative","Sales","Speciality Products","Male",37,"China","Shanghai",10,NULL
"E00586","Sadie Washington","Sr. Manger","Marketing","Research & Development","Female",29,"United States","Phoenix",5,NULL
"E03720","Dominic Clark","Quality Engineer","Engineering","Research & Development","Male",52,"United States","Phoenix",11,NULL
"E03025","Lucy Alexander","Director","Engineering","Manufacturing","Female",45,"United States","Seattle",9,NULL
"E04917","Everleigh Washington","HRIS Analyst","Human Resources","Research & Development","Female",64,"United States","Phoenix",22,NULL
"E00415","Leilani Butler","Analyst II","Marketing","Manufacturing","Female",27,"United States","Phoenix",2,NULL
"E04207","John Contreras","Analyst II","Marketing","Manufacturing","Male",35,"United States","Columbus",13,NULL
"E02139","Rylee Yu","Director","Accounting","Research & Development","Female",36,"United States","Seattle",8,NULL
"E01797","Piper Lewis","Field Engineer","Engineering","Research & Development","Female",33,"United States","Chicago",5,NULL
"E01839","Stella Alexander","Automation Engineer","Engineering","Corporate","Female",52,"United States","Chicago",18,NULL
"E01633","Addison Do","Operations Engineer","Engineering","Manufacturing","Female",46,"United States","Columbus",23,NULL
"E01848","Zoey Jackson","Business Partner","Human Resources","Manufacturing","Female",46,"United States","Miami",15,NULL
"E00716","John Chow","Sr. Manger","Marketing","Research & Development","Male",45,"China","Chengdu",3,NULL
"E00502","Natalia Salazar","Sr. Analyst","Accounting","Manufacturing","Female",44,"Brazil","Manaus",5,NULL
"E04000","Skylar Carrillo","Engineering Manager","Engineering","Corporate","Female",44,"United States","Austin",15,NULL
"E02112","Christian Sanders","Vice President","Human Resources","Speciality Products","Male",45,"United States","Seattle",10,NULL
"E04105","Theodore Dinh","Technical Architect","IT","Manufacturing","Male",59,"China","Chongqing",26,35000
"E03824","Penelope Coleman","Analyst","Finance","Corporate","Female",36,"United States","Miami",2,NULL
"E03906","Piper Richardson","Sr. Analyst","Sales","Corporate","Female",38,"United States","Columbus",16,NULL
"E00436","Everly Walker","HRIS Analyst","Human Resources","Speciality Products","Female",41,"United States","Seattle",14,NULL
"E04798","Aurora Ali","Manager","Marketing","Research & Development","Female",30,"United States","Seattle",8,NULL
"E02966","William Foster","Field Engineer","Engineering","Manufacturing","Male",58,"United States","Phoenix",22,NULL
"E01499","Jade Rojas","Director","Finance","Speciality Products","Female",37,"United States","Phoenix",5,NULL
"E00105","Isla Espinoza","Manager","Accounting","Speciality Products","Female",38,"Brazil","Manaus",2,NULL
"E00665","David Chu","Controls Engineer","Engineering","Corporate","Male",55,"United States","Seattle",25,NULL
"E00791","Thomas Padilla","Vice President","Marketing","Research & Development","Male",57,"Brazil","Sao Paulo",20,NULL
"E04474","Mila Hong","Test Engineer","Engineering","Research & Development","Female",30,"China","Chongqing",7,NULL
"E00254","Samuel Morales","Analyst II","Finance","Corporate","Male",34,"United States","Phoenix",8,NULL
"E02166","John Soto","Sr. Manger","Finance","Manufacturing","Male",60,"United States","Phoenix",8,NULL
"E00935","Joseph Martin","Analyst II","Marketing","Corporate","Male",41,"United States","Miami",7,NULL
"E01525","Jose Ross","Engineering Manager","Engineering","Research & Development","Male",53,"United States","Miami",32,NULL
"E00386","Parker James","Quality Engineer","Engineering","Speciality Products","Male",45,"United States","Austin",19,NULL
"E00416","Everleigh Fernandez","Director","Engineering","Research & Development","Female",30,"Brazil","Manaus",8,NULL
"E03383","Lincoln Hall","Director","Accounting","Speciality Products","Male",26,"United States","Chicago",3,NULL
"E01516","Willow Mai","Business Partner","Human Resources","Manufacturing","Female",45,"China","Chengdu",20,NULL
"E01234","Jack Cheng","Director","Human Resources","Manufacturing","Male",42,"China","Beijing",10,NULL
"E00440","Jack Huynh","Manager","Marketing","Research & Development","Male",27,"China","Chongqing",5,NULL
"E00595","Everly Chow","Sr. Manger","Finance","Speciality Products","Female",33,"China","Beijing",6,NULL
"E00972","Amelia Salazar","Analyst II","Finance","Corporate","Female",26,"Brazil","Sao Paulo",5,NULL
"E04562","Xavier Zheng","Account Representative","Sales","Manufacturing","Male",31,"United States","Austin",6,NULL
"E02802","Matthew Chau","Sr. Business Partner","Human Resources","Research & Development","Male",53,"United States","Seattle",21,NULL
"E01427","Mia Cheng","Sr. Manger","Sales","Manufacturing","Female",34,"United States","Phoenix",9,NULL
"E04568","Rylee Yu","Vice President","Finance","Speciality Products","Female",54,"China","Beijing",12,NULL
"E03890","Nevaeh Jones","Vice President","Sales","Manufacturing","Female",31,"United States","Austin",3,NULL
"E01194","Samantha Adams","Test Engineer","Engineering","Research & Development","Female",45,"United States","Seattle",11,NULL
"E04959","Noah King","Development Engineer","Engineering","Speciality Products","Male",56,"United States","Miami",9,NULL
"E03816","Leilani Chow","Director","Human Resources","Corporate","Female",27,"China","Beijing",3,NULL
"E01261","Connor Simmons","Analyst II","Accounting","Speciality Products","Male",55,"United States","Miami",17,NULL
"E03612","Grayson Cooper","Sr. Manger","Finance","Speciality Products","Male",64,"United States","Columbus",10,NULL
"E01388","Ivy Soto","Field Engineer","Engineering","Research & Development","Female",50,"United States","Austin",26,NULL
"E03875","Aurora Simmons","Development Engineer","Engineering","Corporate","Female",51,"United States","Austin",28,NULL
"E04413","Andrew Thomas","Controls Engineer","Engineering","Manufacturing","Male",36,"United States","Columbus",7,NULL
"E00691","Ezekiel Desai","Director","Finance","Research & Development","Male",42,"United States","Seattle",21,NULL
"E03047","Gabriella Gupta","Sr. Account Representative","Sales","Corporate","Female",41,"China","Shanghai",19,NULL
"E02850","Evelyn Dinh","Director","Sales","Research & Development","Female",41,"United States","Columbus",5,NULL
"E03583","Brooks Marquez","Vice President","Sales","Corporate","Male",61,"United States","Chicago",4,NULL
"E02017","Connor Joseph","Director","Human Resources","Corporate","Male",50,"United States","Chicago",25,NULL
"E04379","Scarlett Rodriguez","Sr. Analyst","Finance","Manufacturing","Female",60,"Brazil","Manaus",17,NULL
"E04131","Cora Rivera","Sr. Analyst","Marketing","Corporate","Female",42,"United States","Seattle",3,NULL
"E02872","Liam Jung","Manager","Finance","Corporate","Male",39,"China","Chengdu",14,NULL
"E00417","Athena Carrillo","Analyst II","Finance","Speciality Products","Female",39,"United States","Columbus",18,NULL
"E03061","Vivian Lewis","Manager","Marketing","Manufacturing","Female",65,"United States","Columbus",12,NULL
"E00013","Elena Vang","Analyst","Finance","Corporate","Female",52,"China","Beijing",5,NULL
"E04265","Natalia Diaz","Operations Engineer","Engineering","Corporate","Female",62,"United States","Austin",17,NULL
"E04769","Mila Leung","Sr. Analyst","Marketing","Corporate","Female",39,"China","Beijing",16,NULL
"E00527","Mateo Chu","Field Engineer","Engineering","Speciality Products","Male",27,"China","Chengdu",4,NULL
"E01095","Isla Lai","Vice President","Finance","Corporate","Female",37,"China","Shanghai",12,NULL
"E01713","Nolan Guzman","Field Engineer","Engineering","Speciality Products","Male",46,"Brazil","Sao Paulo",24,NULL
"E00128","Everleigh Espinoza","Director","Human Resources","Manufacturing","Female",54,"United States","Austin",6,NULL
"E03849","Evelyn Jung","Analyst","Sales","Research & Development","Female",30,"China","Beijing",3,NULL
"E02464","Sophie Silva","Vice President","Engineering","Corporate","Female",28,"Brazil","Rio de Janerio",6,NULL
"E03737","Kennedy Rahman","Vice President","Human Resources","Manufacturing","Female",49,"China","Chongqing",21,NULL
"E02783","Levi Mendez","Vice President","Sales","Research & Development","Male",39,"Brazil","Rio de Janerio",12,NULL
"E02939","Julian Fong","Quality Engineer","Engineering","Speciality Products","Male",61,"China","Chongqing",21,NULL
"E02706","Nevaeh Kang","Automation Engineer","Engineering","Research & Development","Female",46,"China","Chengdu",3,NULL
"E00170","Hannah Nelson","Sr. Analyst","Marketing","Speciality Products","Female",35,"United States","Austin",4,NULL
"E01425","Anthony Rogers","Vice President","Engineering","Corporate","Male",33,"United States","Columbus",8,NULL
"E00130","Paisley Kang","Vice President","Human Resources","Corporate","Female",61,"China","Beijing",7,NULL
"E04682","Colton Thao","Manager","Human Resources","Manufacturing","Male",55,"China","Chongqing",28,NULL
"E00957","Genesis Perry","Sr. Manger","Sales","Corporate","Female",46,"United States","Columbus",10,NULL
"E04458","Alexander Bryant","Field Engineer","Engineering","Speciality Products","Male",30,"United States","Seattle",2,NULL
"E03717","Joseph Ruiz","Field Engineer","Engineering","Manufacturing","Male",45,"Brazil","Sao Paulo",22,NULL
"E01533","Avery Bailey","Sr. Analyst","Sales","Speciality Products","Female",49,"United States","Phoenix",28,NULL
"E04449","Miles Hsu","Analyst II","Finance","Research & Development","Male",55,"China","Chengdu",10,NULL
"E03907","Camila Watson","Vice President","Finance","Speciality Products","Female",32,"United States","Austin",6,NULL
"E02166","Lucas Thomas","Manager","Accounting","Research & Development","Male",55,"United States","Miami",24,NULL
"E00431","Skylar Doan","Sr. Business Partner","Human Resources","Research & Development","Female",58,"United States","Seattle",29,NULL
"E01501","Hudson Liu","Engineering Manager","Engineering","Speciality Products","Male",34,"United States","Miami",6,NULL
"E01141","Gianna Williams","Quality Engineer","Engineering","Research & Development","Female",27,"United States","Chicago",3,NULL
